SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
SRR17380244,19,0.0277,0.0201,1.8866,0.8095,0.0232,100.0,0.0,jams202212,0.01,tourlousse,
SRR17380245,19,0.0282,0.0201,1.8885,0.8092,0.0232,100.0,0.0,jams202212,0.01,tourlousse,
SRR17380246,19,0.026,0.0203,1.9036,0.8076,0.0234,100.0,0.0,jams202212,0.01,tourlousse,
SRR17380241,20,0.0348,0.0236,4.1977,0.7639,0.0338,100.0,11.3618,wgsa2,0.01,tourlousse,
SRR17380242,20,0.0357,0.0239,4.2353,0.7615,0.0344,100.0,11.5737,wgsa2,0.01,tourlousse,
SRR17380243,20,0.0327,0.0236,4.1943,0.7642,0.0338,100.0,11.2782,wgsa2,0.01,tourlousse,
SRR17380244,20,0.037,0.0236,4.2067,0.7641,0.034,100.0,11.4283,wgsa2,0.01,tourlousse,
SRR17380245,20,0.035,0.0235,4.1982,0.7646,0.0338,100.0,11.3516,wgsa2,0.01,tourlousse,
SRR17380246,20,0.0354,0.0236,4.1988,0.7645,0.0338,100.0,11.3584,wgsa2,0.01,tourlousse,
SRR17380241,22,0.0003,0.0395,8.3398,0.5658,0.0459,89.4737,18.3273,woltka,0.01,tourlousse,
SRR17380242,22,0.0001,0.0394,8.2952,0.5668,0.0456,89.4737,18.7181,woltka,0.01,tourlousse,
SRR17380243,22,0.0003,0.0395,8.3409,0.5657,0.0459,89.4737,18.3461,woltka,0.01,tourlousse,
SRR17380244,22,0.0003,0.0395,8.3338,0.565,0.046,89.4737,18.273,woltka,0.01,tourlousse,
SRR17380245,22,0.0004,0.0395,8.3386,0.565,0.046,89.4737,18.2344,woltka,0.01,tourlousse,
SRR17380246,22,0.0004,0.0396,8.359,0.5647,0.0461,89.4737,18.247,woltka,0.01,tourlousse,
SRR17380241,20,0.0749,0.024,7.1372,0.7602,0.0336,89.4737,6.4245,biobakery3,0.0001,tourlousse,0.0
SRR17380242,20,0.0712,0.0237,7.1126,0.7631,0.0332,89.4737,6.4792,biobakery3,0.0001,tourlousse,0.0
SRR17380243,20,0.0619,0.0236,7.1395,0.7644,0.0334,89.4737,6.959,biobakery3,0.0001,tourlousse,0.0
